AccessID,CustomerID,AccessDate,PageVisited,Duration,DeviceType,BrowserType,OperatingSystem,ReferralSource,GeoLocation,IP_Address,SessionID
1,64,2023-12-24 08:17:07.314445,About,398,Desktop,Chrome,Linux,Facebook,Australia,39.163.201.90,9511
2,464,2024-01-29 08:17:07.314499,Cart,91,Desktop,Edge,iOS,Email,Australia,171.201.62.121,3238
3,418,2024-04-02 08:17:07.314524,Checkout,497,Desktop,Opera,Windows,Facebook,USA,3.217.203.28,2138
4,921,2024-01-02 08:17:07.314540,Profile,61,Mobile,Firefox,macOS,Direct,Germany,199.93.197.119,4584
5,840,2024-03-10 08:17:07.314557,Checkout,438,Tablet,Opera,Android,Direct,France,245.183.40.124,3283
6,838,2024-05-13 08:17:07.314573,Profile,508,Tablet,Chrome,Linux,Bing,France,234.48.199.169,8022
7,95,2023-12-18 08:17:07.314589,Checkout,113,Tablet,Chrome,macOS,Direct,UK,170.130.34.241,9801
8,923,2023-11-12 08:17:07.314607,Profile,268,Mobile,Safari,Linux,Facebook,Germany,126.171.236.237,5438
9,760,2024-03-28 08:17:07.314625,About,291,Tablet,Chrome,Android,Twitter,Germany,126.111.161.146,7178
10,923,2024-02-06 08:17:07.314641,About,526,Mobile,Firefox,iOS,Twitter,UK,246.244.118.245,7638
11,24,2024-01-19 08:17:07.314655,Home,548,Tablet,Opera,iOS,Email,France,89.33.174.23,1067
12,692,2024-01-24 08:17:07.314669,Checkout,328,Desktop,Chrome,Linux,Twitter,Germany,16.195.12.64,5454
13,868,2024-03-13 08:17:07.314684,Support,301,Mobile,Chrome,macOS,Email,France,84.13.207.106,9609
14,776,2023-10-19 08:17:07.314698,Profile,222,Desktop,Safari,iOS,Google,Germany,236.97.25.247,7658
15,904,2023-08-07 08:17:07.314713,Profile,558,Mobile,Opera,iOS,Facebook,Germany,44.213.2.122,1881
16,870,2024-01-09 08:17:07.314729,Contact,135,Desktop,Edge,Android,Bing,Canada,193.59.157.71,7441
17,637,2024-02-02 08:17:07.314744,Home,70,Mobile,Edge,macOS,Twitter,UK,231.203.227.50,2448
18,149,2024-05-16 08:17:07.314759,Profile,470,Mobile,Edge,macOS,Bing,UK,127.192.82.23,6194
19,785,2023-12-06 08:17:07.314773,Profile,398,Tablet,Chrome,Windows,Email,Germany,242.54.46.112,2876
20,447,2023-10-21 08:17:07.314787,Products,104,Desktop,Firefox,Android,Direct,Germany,98.155.18.35,1177
21,811,2024-03-31 08:17:07.314802,About,225,Desktop,Chrome,Windows,Direct,Germany,48.89.68.46,2320
22,395,2024-03-11 08:17:07.314816,Profile,547,Mobile,Chrome,Android,Google,Canada,100.133.183.114,8576
23,226,2024-02-05 08:17:07.314830,Checkout,502,Desktop,Firefox,iOS,Direct,Australia,5.59.242.184,7234
24,251,2024-04-22 08:17:07.314844,Home,196,Desktop,Safari,macOS,Twitter,France,203.146.139.143,3323
25,655,2024-06-06 08:17:07.314858,Cart,383,Tablet,Opera,macOS,Direct,UK,232.235.37.60,6612
26,20,2024-04-25 08:17:07.314871,Support,36,Tablet,Edge,iOS,Email,USA,152.14.221.209,8560
27,398,2024-02-02 08:17:07.314885,Profile,260,Desktop,Safari,Windows,Email,France,125.29.100.11,8079
28,311,2024-06-15 08:17:07.314900,About,230,Mobile,Chrome,Linux,Email,France,194.21.140.37,5690
29,705,2023-09-24 08:17:07.314913,Support,66,Mobile,Firefox,macOS,Facebook,Germany,92.253.5.203,1475
30,141,2023-07-25 08:17:07.314927,Support,322,Desktop,Safari,Windows,Twitter,USA,31.28.78.41,6108
31,884,2023-10-11 08:17:07.314942,Contact,189,Mobile,Chrome,macOS,Direct,Canada,103.191.68.65,2102
32,211,2023-10-26 08:17:07.314956,Home,528,Mobile,Opera,Windows,Bing,Australia,62.37.182.177,7008
33,461,2024-06-10 08:17:07.314970,Products,412,Desktop,Opera,iOS,Direct,USA,81.60.140.185,1440
34,271,2024-03-20 08:17:07.314984,Profile,465,Mobile,Opera,macOS,Facebook,France,102.38.93.81,6316
35,220,2024-03-05 08:17:07.314999,Cart,509,Desktop,Firefox,iOS,Direct,France,98.206.81.46,3693
36,687,2024-04-02 08:17:07.315014,Profile,426,Mobile,Firefox,Android,Email,Germany,45.39.98.242,3050
37,851,2024-01-24 08:17:07.315027,Products,477,Desktop,Safari,macOS,Twitter,Canada,42.20.4.139,9834
38,659,2024-06-22 08:17:07.315041,Products,419,Mobile,Opera,Android,Bing,France,156.64.108.59,9696
39,858,2023-12-26 08:17:07.315055,Checkout,248,Mobile,Opera,iOS,Email,UK,13.76.69.29,9141
40,71,2023-08-25 08:17:07.315069,Support,370,Desktop,Edge,Linux,Twitter,France,119.156.36.12,1590
